O3 wind humidity temp dpg vis doy
3 4 28 40 -25 250 33
5 3 37 45 -24 100 34
5 3 51 54 25 60 35
6 4 69 35 15 60 36
4 6 19 45 -33 100 37
4 3 25 55 -28 250 38
6 3 73 41 23 120 39
7 3 59 44 -2 120 40
4 8 27 54 -19 120 41
6 3 44 51 9 150 42
5 6 33 51 -44 40 43
4 6 19 54 -44 200 44
4 3 19 58 -53 250 45
7 2 19 61 -67 200 46
5 5 19 64 -40 200 47
9 4 59 67 1 150 48
4 5 73 52 -68 10 49
3 4 19 54 -66 140 50
4 3 19 54 -58 250 51
4 4 26 58 -26 200 52
5 5 59 69 18 150 53
6 5 70 51 23 140 54
9 3 64 53 -10 50 55
6 5 19 59 -52 70 57
6 5 19 64 -15 150 59
11 3 28 63 -15 120 60
10 2 32 63 -38 40 61
7 5 19 62 -29 120 61
12 8 76 63 -7 6 62
9 3 69 54 62 30 63
2 3 76 36 70 100 64
3 6 64 31 28 200 65
3 7 62 30 18 60 66
2 9 72 36 0 350 67
3 7 76 42 -18 250 68
3 11 72 37 32 350 69
4 10 72 41 -1 300 70
6 3 32 46 -30 300 71
8 5 50 51 -8 300 72
6 4 86 55 21 200 73
4 5 61 41 51 100 74
3 5 62 41 42 250 75
7 5 66 49 27 200 76
11 5 68 45 2 200 77
13 3 82 55 26 40 78
6 8 21 41 -30 300 80
5 3 19 45 -53 300 81
4 11 19 51 -43 300 82
4 7 19 53 7 300 83
6 5 68 50 24 300 84
10 6 63 60 19 150 85
15 3 54 54 2 150 86
23 3 47 53 -4 80 87
17 3 56 53 3 40 88
7 7 61 44 73 40 89
2 10 74 40 73 80 91
3 7 46 30 44 300 92
3 11 45 25 39 200 93
4 3 43 40 -12 140 95
6 3 21 45 -2 140 96
7 7 57 51 30 140 97
7 5 42 48 24 100 98
6 5 50 45 38 140 99
3 5 61 47 56 200 100
2 9 61 43 66 120 101
8 0 60 49 -27 300 102
12 4 31 56 -9 300 103
12 3 66 53 13 150 104
16 5 53 61 -20 2 105
9 2 42 63 -15 50 106
24 3 60 70 7 70 107
13 4 82 57 68 17 108
8 4 57 35 28 140 109
10 5 21 52 -49 140 110
8 5 19 59 -27 300 111
9 4 32 67 -9 200 112
10 5 77 57 54 250 113
